# wavelength [nm]	QE (FM1)	QE 1sigma-error_if-used-for-FM2	sensitivity_[ppm/mK]
849.0	0.435816509	0.01232	2.821711847
850.0	0.433083909	0.01225	2.840147594
851.0	0.430351308	0.01218	2.858583341
852.0	0.427618707	0.01210	2.877019088
853.0	0.424886106	0.01202	2.895454834
854.0	0.422153505	0.01195	2.913890581
855.0	0.419420904	0.01188	2.932326328
856.0	0.416688303	0.01180	2.950762075
857.0	0.413955703	0.01172	2.969197822
858.0	0.411223102	0.01165	2.987633568
859.0	0.408490501	0.01157	3.006069315
860.0	0.405757900	0.01150	3.024505062
861.0	0.402778471	0.01141	3.045717019
862.0	0.399799042	0.01133	3.066928976
863.0	0.396819613	0.01124	3.088140933
864.0	0.393840184	0.01116	3.109352890
865.0	0.390860755	0.01108	3.130564847
866.0	0.387881327	0.01099	3.151776804
867.0	0.384901898	0.01090	3.172988761
868.0	0.381922469	0.01082	3.194200718
869.0	0.378943040	0.01073	3.215412675
870.0	0.375963611	0.01065	3.236624631
871.0	0.372984182	0.01057	3.257836588
872.0	0.370004753	0.01048	3.279048545
873.0	0.367025324	0.01039	3.300260502
874.0	0.364045895	0.01031	3.321472459
875.0	0.361066467	0.01022	3.342684416
876.0	0.358087038	0.01014	3.363896373
877.0	0.355107609	0.01005	3.385108330
878.0	0.352128180	0.00997	3.406320287
879.0	0.349148751	0.00988	3.427532244
880.0	0.346169322	0.00980	3.448744201
881.0	0.342698159	0.00977	3.475477564
882.0	0.339226996	0.00974	3.502210926
883.0	0.335755833	0.00971	3.528944289
884.0	0.332284670	0.00968	3.555677652
885.0	0.328813507	0.00965	3.582411015
886.0	0.325342344	0.00962	3.609144377
887.0	0.321871181	0.00959	3.635877740
888.0	0.318400018	0.00956	3.662611103
889.0	0.314928855	0.00953	3.689344466
890.0	0.311457692	0.00950	3.716077828
891.0	0.307986530	0.00947	3.742811191
892.0	0.304515367	0.00944	3.769544554
893.0	0.301044204	0.00941	3.796277917
894.0	0.297573041	0.00938	3.823011279
895.0	0.294101878	0.00935	3.849744642
896.0	0.290630715	0.00932	3.876478005
897.0	0.287159552	0.00929	3.903211368
898.0	0.283688389	0.00926	3.929944730
899.0	0.280217226	0.00923	3.956678093
900.0	0.276746063	0.00920	3.983411456
901.0	0.273957437	0.00911	4.008186227
902.0	0.271168812	0.00901	4.032960999
903.0	0.268380186	0.00891	4.057735770
904.0	0.265591561	0.00882	4.082510541
905.0	0.262802935	0.00873	4.107285313
906.0	0.260014309	0.00863	4.132060084
907.0	0.257225684	0.00854	4.156834855
908.0	0.254437058	0.00844	4.181609627
909.0	0.251648433	0.00834	4.206384398
910.0	0.248859807	0.00825	4.231159169
911.0	0.246071181	0.00816	4.255933941
912.0	0.243282556	0.00806	4.280708712
913.0	0.240493930	0.00796	4.305483484
914.0	0.237705305	0.00787	4.330258255
915.0	0.234916679	0.00777	4.355033026
916.0	0.232128053	0.00768	4.379807798
917.0	0.229339428	0.00758	4.404582569
918.0	0.226550802	0.00749	4.429357340
919.0	0.223762177	0.00739	4.454132112
920.0	0.220973551	0.00730	4.478906883
921.0	0.218453837	0.00722	4.515096438
922.0	0.215934122	0.00714	4.551285992
923.0	0.213414408	0.00706	4.587475547
924.0	0.210894694	0.00698	4.623665102
925.0	0.208374979	0.00690	4.659854656
926.0	0.205855265	0.00682	4.696044211
927.0	0.203335551	0.00674	4.732233766
928.0	0.200815836	0.00666	4.768423320
929.0	0.198296122	0.00658	4.804612875
930.0	0.195776407	0.00650	4.840802430
931.0	0.193256693	0.00642	4.876991984
932.0	0.190736979	0.00634	4.913181539
933.0	0.188217264	0.00626	4.949371093
934.0	0.185697550	0.00618	4.985560648
935.0	0.183177836	0.00610	5.021750203
936.0	0.180658121	0.00602	5.057939757
937.0	0.178138407	0.00594	5.094129312
938.0	0.175618693	0.00586	5.130318867
939.0	0.173098978	0.00578	5.166508421
940.0	0.170579264	0.00570	5.202697976
941.0	0.168525322	0.00563	5.234637612
942.0	0.166471381	0.00556	5.266577249
943.0	0.164417439	0.00549	5.298516885
944.0	0.162363498	0.00542	5.330456521
945.0	0.160309556	0.00535	5.362396158
946.0	0.158255615	0.00528	5.394335794
947.0	0.156201673	0.00521	5.426275430
948.0	0.154147732	0.00514	5.458215067
949.0	0.152093790	0.00507	5.490154703
950.0	0.150039849	0.00500	5.522094339
951.0	0.147985907	0.00493	5.554033976
952.0	0.145931965	0.00486	5.585973612
953.0	0.143878024	0.00479	5.617913249
954.0	0.141824082	0.00472	5.649852885
955.0	0.139770141	0.00465	5.681792521
956.0	0.137716199	0.00458	5.713732158
957.0	0.135662258	0.00451	5.745671794
958.0	0.133608316	0.00444	5.777611430
959.0	0.131554375	0.00437	5.809551067
960.0	0.129500433	0.00430	5.841490703
961.0	0.127779453	0.00425	5.881110665
962.0	0.126058472	0.00419	5.920730628
963.0	0.124337492	0.00413	5.960350591
964.0	0.122616512	0.00408	5.999970553
965.0	0.120895531	0.00402	6.039590516
966.0	0.119174551	0.00397	6.079210478
967.0	0.117453571	0.00392	6.118830441
968.0	0.115732590	0.00386	6.158450403
969.0	0.114011610	0.00381	6.198070365
970.0	0.112290629	0.00375	6.237690328
971.0	0.110569649	0.00370	6.277310291
972.0	0.108848669	0.00364	6.316930253
973.0	0.107127688	0.00359	6.356550216
974.0	0.105406708	0.00353	6.396170178
975.0	0.103685728	0.00348	6.435790140
976.0	0.101964747	0.00342	6.475410103
977.0	0.100243767	0.00336	6.515030065
978.0	0.098522787	0.00331	6.554650028
979.0	0.096801806	0.00326	6.594269990
980.0	0.095080826	0.00320	6.633889953
981.0	0.093627716	0.00317	6.694171313
982.0	0.092174607	0.00313	6.754452673
983.0	0.090721497	0.00310	6.814734033
